Squad,Command,Agent,Category,Description,Input,Output,Quick
ops,status,ops-lead,analysis,System-wide status overview,scope (text),status_report (md),no
ops,prioritize,ops-lead,strategy,Define global priorities,initiatives (list) + criteria (yaml),priority_matrix (md),no
ops,escalate,ops-lead,coordination,Escalate decision to Director,issue (text) + context (md),escalation_request (md),no
ops,authorize,ops-lead,coordination,Authorize critical execution,action (text) + justification (text),authorization (md),no
ops,route,ops-lead,coordination,Route OS to appropriate squad,os_request (yaml),routing_decision (md),no
ops,new-task,ops-manager,execution,Cria nova OS a partir de pedido,-,-,yes
ops,blocked,ops-manager,coordination,Registra bloqueio em OS,-,-,yes
ops,update-status,ops-manager,coordination,Atualiza status de OS,-,-,yes
tech,review,tech-lead,review,Technical architecture review,code_path (path) + scope (text),review_report (md),no
tech,decide,tech-lead,strategy,Make technical decision (ADR),options (list) + criteria (yaml),decision_record (md),no
tech,standards,tech-lead,strategy,Define code standards,domain (text) + rules (yaml),standards_doc (md),no
tech,evaluate,tech-lead,analysis,Evaluate technology option,technology (text) + use_case (text),evaluation_report (md),no
tech,implement,application-developer,execution,Implement component/feature,spec (md),implementation (code),no
tech,connect,application-developer,execution,Connect to external API,api_spec (yaml),integration (code),no
tech,test,application-developer,execution,Write tests for component,-,-,yes
tech,analyze-ai,ai-ops,analysis,Analyze AI usage and costs,-,ai_cost_report (md),no
tech,optimize-prompts,ai-ops,execution,Optimize prompts and routing,-,optimization_plan (md),no
tech,create-workflow,automation-engineer,execution,Create n8n/automation workflow,trigger (text) + actions (list),workflow_config (yaml),no
tech,integrate,automation-engineer,execution,Integrate tools via API,source (text) + target (text),integration_spec (yaml),no
tech,sync,automation-engineer,execution,Setup data sync between systems,-,-,yes
tech,setup-crm,ghl-specialist,execution,Setup CRM structure in GHL,-,crm_config (yaml),no
tech,create-pipeline,ghl-specialist,execution,Create sales pipeline in GHL,-,pipeline_config (yaml),no
tech,snapshot,ghl-specialist,execution,Create/deploy GHL snapshot,-,-,yes
marketing,plan-campaign,marketing-lead,strategy,Create campaign strategy,objective (text) + audience (yaml) + budget (number),campaign_plan (md),no
marketing,review-creative,marketing-lead,review,Review creative assets for brand alignment,assets (files) + guidelines (md),review_report (md),no
marketing,analyze-performance,marketing-lead,analysis,Analyze campaign metrics,campaign_id (text) + date_range (text),performance_report (md),no
marketing,coordinate,marketing-lead,coordination,Coordinate cross-channel execution,campaign_plan (md) + channels (list),execution_schedule (yaml),no
marketing,brief,marketing-lead,execution,Create creative brief for content team,objective (text) + context (md),creative_brief (md),no
marketing,research,content-strategist,analysis,Pesquisa ICP e mercado,-,research_report (md),no
marketing,angles,content-strategist,strategy,Define angulos de conteudo,-,content_angles (md),no
