Tipo,Nome,Tier,Agente/Owner,Auto-Invoke,Prioridade,Descricao,Triggers/Keywords,Como Usar,Exemplo de Uso
SKILL,/architect-first,Core,architect|dev|aios-master,Sim,Critical,"Desenvolvimento architecture-first: design completo antes de código","arquitetura, architecture, design system, nova feature complexa, system design","/architect-first ou diga 'preciso arquitetar...'","Preciso arquitetar um novo módulo de autenticação"
SKILL,/tech-search,Core,all,Sim,Medium,"Deep research técnico com WebSearch + WebFetch","pesquisar, research, best practice, como fazer, how to, melhor forma","/tech-search {query} ou pergunte 'qual a melhor forma de...'","Qual a melhor forma de implementar SSR com Next.js?"
SKILL,/enhance-workflow,Core,aios-master|pm|architect|po,Sim,High,"Pipeline multi-agente: Discovery → Research → Roundtable → Epic","melhorar feature, enhance feature, evoluir projeto, adicionar funcionalidade","/enhance-workflow {feature}","Quero evoluir o sistema de notificações"
SKILL,/mcp-builder,Core,devops|dev|architect,Sim,High,"Guia para criar MCP servers (FastMCP/Python ou MCP SDK/Node)","criar mcp, create mcp, build mcp server, mcp integration, fastmcp","/mcp-builder {service}","Preciso criar um MCP para integrar com Stripe"
SKILL,/skill-creator,Meta,aios-master,Não,Low,"Criar ou atualizar skills do Claude Code","(apenas invocação direta)","/skill-creator {nome}","Quero criar um skill para revisar PRs"
SKILL,/context-optimizer,Tier 1,all,Sim,High,"Reduz tokens via compressão inteligente e lazy loading (-50% tokens)","otimizar contexto, reduce tokens, contexto grande, economizar tokens","/context-optimizer ou 'contexto muito grande'","O contexto está muito grande, otimize"
SKILL,/circuit-breaker,Tier 1,all,Sim,Critical,"Previne loops infinitos, custo descontrolado e falhas em cascata","prevenir loop, stop execution, limite de custo, guardrails","/circuit-breaker ou mencione 'loop infinito'","Preciso de guardrails para esta task custosa"
SKILL,/learning-loop,Tier 1,all,Sim,High,"Agentes que melhoram a cada execução (compound intelligence)","aprender com, learn from, lição aprendida, padrão de sucesso","/learning-loop capture ou 'aprenda com esta sessão'","Capture o que aprendemos nesta sessão"
SKILL,/institutional-memory,Tier 2,all,Sim,High,"Memória organizacional que persiste entre sessões","decisão anterior, já fizemos isso, histórico de, por que decidimos","/institutional-memory search {query}","Por que decidimos usar Supabase?"
SKILL,/cost-guardian,Tier 2,all,Sim,Critical,"Controle rigoroso de budget com enforcement automático","custo, budget, orçamento, gasto, quanto gastei","/cost-guardian status ou 'quanto gastei hoje?'","Qual o status do budget mensal?"
